0,1,2,3,4,5
GME,10,49.4399,494.399,buy,2021-02-16 14:01:00
GME,-10,49.3101,-493.101,sell,2021-02-16 14:10:00
GME,10,49.3301,493.30100000000004,buy,2021-02-16 14:16:00
GME,-10,49.11,-491.1,sell,2021-02-16 14:22:00
GME,10,49.1601,491.601,buy,2021-02-16 14:33:00
GME,-10,49.19,-491.9,sell,2021-02-16 14:53:00
GME,10,49.206,492.06000000000006,buy,2021-02-16 15:04:00
GME,-10,49.18,-491.8,sell,2021-02-16 15:09:00
GME,10,49.33,493.29999999999995,buy,2021-02-16 15:14:00
GME,-10,49.43,-494.3,sell,2021-02-16 15:31:00
GME,10,49.34,493.40000000000003,buy,2021-02-16 15:34:00
GME,-10,49.53,-495.3,sell,2021-02-16 15:49:00
GME,10,49.6,496.0,buy,2021-02-16 15:50:00
GME,-10,49.54,-495.4,sell,2021-02-16 15:56:00
GME,10,49.45,494.5,buy,2021-02-16 16:10:00
GME,-10,49.31,-493.1,sell,2021-02-16 16:27:00
GME,10,49.56,495.6,buy,2021-02-16 16:33:00
GME,-10,49.2,-492.0,sell,2021-02-16 16:44:00
GME,10,49.27,492.70000000000005,buy,2021-02-16 16:56:00
GME,-10,49.3,-493.0,sell,2021-02-16 16:57:00
GME,10,49.26,492.59999999999997,buy,2021-02-16 16:59:00
GME,-10,49.2,-492.0,sell,2021-02-16 17:14:00
GME,10,49.22,492.2,buy,2021-02-16 18:13:00
GME,-10,49.3,-493.0,sell,2021-02-16 19:21:00
GME,10,49.33,493.29999999999995,buy,2021-02-16 19:48:00
GME,-10,49.37,-493.7,sell,2021-02-16 20:00:00
GME,1,100.0,100.0,buy,2021-01-01 00:00:00
